2,1,0
3,1,0
15,1,0
16,1,0
1,2,0
3,2,0
4,2,0
16,2,0
1,3,0
2,3,0
4,3,0
5,3,0
2,4,0
3,4,0
5,4,0
6,4,0
3,5,0
4,5,0
6,5,0
7,5,0
4,6,0
5,6,0
7,6,0
8,6,0
5,7,0
6,7,0
8,7,0
9,7,0
6,8,0
7,8,0
9,8,0
10,8,0
7,9,0
8,9,0
10,9,0
11,9,0
8,10,0
9,10,0
11,10,0
12,10,0
9,11,0
10,11,0
12,11,0
13,11,0
10,12,0
11,12,0
13,12,0
14,12,0
11,13,0
12,13,0
14,13,0
15,13,0
12,14,0
13,14,0
15,14,0
16,14,0
1,15,0
13,15,0
14,15,0
16,15,0
1,16,0
2,16,0
14,16,0
15,16,0
2,1,1
3,1,1
15,1,1
16,1,1
1,2,1
3,2,1
4,2,1
16,2,1
1,3,1
2,3,1
4,3,1
5,3,1
2,4,1
3,4,1
5,4,1
6,4,1
3,5,1
4,5,1
6,5,1
7,5,1
4,6,1
5,6,1
7,6,1
8,6,1
5,7,1
6,7,1
8,7,1
9,7,1
6,8,1
7,8,1
9,8,1
10,8,1
7,9,1
8,9,1
10,9,1
11,9,1
8,10,1
9,10,1
11,10,1
12,10,1
9,11,1
10,11,1
12,11,1
13,11,1
10,12,1
11,12,1
13,12,1
14,12,1
11,13,1
12,13,1
14,13,1
15,13,1
12,14,1
13,14,1
15,14,1
16,14,1
1,15,1
13,15,1
14,15,1
16,15,1
1,16,1
2,16,1
14,16,1
15,16,1
2,1,2
3,1,2
15,1,2
16,1,2
1,2,2
3,2,2
4,2,2
16,2,2
1,3,2
2,3,2
4,3,2
5,3,2
2,4,2
3,4,2
5,4,2
6,4,2
3,5,2
4,5,2
6,5,2
7,5,2
4,6,2
5,6,2
7,6,2
8,6,2
5,7,2
6,7,2
8,7,2
9,7,2
6,8,2
7,8,2
9,8,2
10,8,2
7,9,2
8,9,2
10,9,2
11,9,2
8,10,2
9,10,2
11,10,2
12,10,2
9,11,2
10,11,2
12,11,2
13,11,2
10,12,2
11,12,2
13,12,2
14,12,2
11,13,2
12,13,2
14,13,2
15,13,2
12,14,2
13,14,2
15,14,2
16,14,2
1,15,2
13,15,2
14,15,2
16,15,2
1,16,2
2,16,2
14,16,2
15,16,2
2,1,3
3,1,3
15,1,3
16,1,3
1,2,3
3,2,3
4,2,3
16,2,3
1,3,3
2,3,3
4,3,3
5,3,3
2,4,3
3,4,3
5,4,3
6,4,3
3,5,3
4,5,3
6,5,3
7,5,3
4,6,3
5,6,3
7,6,3
8,6,3
5,7,3
6,7,3
8,7,3
9,7,3
6,8,3
7,8,3
9,8,3
10,8,3
7,9,3
8,9,3
10,9,3
11,9,3
8,10,3
9,10,3
11,10,3
12,10,3
9,11,3
10,11,3
12,11,3
13,11,3
10,12,3
11,12,3
13,12,3
14,12,3
11,13,3
12,13,3
14,13,3
15,13,3
12,14,3
13,14,3
15,14,3
16,14,3
1,15,3
13,15,3
14,15,3
16,15,3
1,16,3
2,16,3
14,16,3
15,16,3
2,1,4
3,1,4
15,1,4
16,1,4
1,2,4
3,2,4
4,2,4
16,2,4
1,3,4
2,3,4
4,3,4
5,3,4
2,4,4
3,4,4
5,4,4
6,4,4
3,5,4
4,5,4
6,5,4
7,5,4
4,6,4
5,6,4
7,6,4
8,6,4
5,7,4
6,7,4
8,7,4
9,7,4
6,8,4
7,8,4
9,8,4
10,8,4
7,9,4
8,9,4
10,9,4
11,9,4
8,10,4
9,10,4
11,10,4
12,10,4
9,11,4
10,11,4
12,11,4
13,11,4
10,12,4
11,12,4
13,12,4
14,12,4
11,13,4
12,13,4
14,13,4
15,13,4
12,14,4
13,14,4
15,14,4
16,14,4
1,15,4
13,15,4
14,15,4
16,15,4
1,16,4
2,16,4
14,16,4
15,16,4
2,1,5
3,1,5
